selected,research_role,selection_category,material_id,structure_id,identifier,formula,a1_element,a2_element,b1_element,b2_element,a1_oxidation_state,a2_oxidation_state,b1_oxidation_state,b2_oxidation_state,decomposition_energy_per_atom,ensemble_mean,ensemble_std,error,goldschmidt_t,bartel_tau,site_group,magnetic_proxy,data_source
True,development,higher_energy_0.10_0.15,634d94da49b0ce94eb0d8187,634d94d949b0ce94eb0d8184,BaSrNi2O6,BaSrNi2O6,Ba,Sr,Ni,Ni,2.0,2.0,4.0,4.0,0.114152,0.11850568219999999,0.026056942870528756,0.004353682199999986,1.10015,4.41352,A:Ba-Sr|B:Ni-Ni,magnetic_B_proxy,Multinary_Oxides
True,development,higher_energy_0.10_0.15,634d96e049b0ce94eb0d945f,634d96e049b0ce94eb0d945b,EuHfLiNiO6,EuHfLiNiO6,Eu,Hf,Li,Ni,3.0,4.0,1.0,4.0,0.124296,0.12830099,0.015259673934509546,0.00400499,0.831376,2.16581,A:Eu-Hf|B:Li-Ni,magnetic_B_proxy,Multinary_Oxides
True,development,near_stable_0.05_0.10,634701f2660f1387211b4aba,634701f1660f1387211b4ab7,MgNbCu2O6,MgNbCu2O6,Mg,Nb,Cu,Cu,2.0,4.0,3.0,3.0,0.087852,0.09905797499999999,0.015345766133972837,0.011205974999999993,0.816453,4.15466,A:Mg-Nb|B:Cu-Cu,other_B,Multinary_Oxides
True,development,near_stable_0.05_0.10,63470f25660f1387211ba8ff,63470f25660f1387211ba8fd,GdInCoV_O6,GdInCoVO6,Gd,In,Co,V,3.0,3.0,2.0,4.0,0.0892338,0.11139281399999998,0.0280875188818402,0.022159013999999977,0.827443,3.90821,A:Gd-In|B:Co-V,magnetic_B_proxy,Multinary_Oxides
True,development,near_stable_0.05_0.10,634d915949b0ce94eb0d604c,634d915949b0ce94eb0d6049,CeNaMnNbO6,CeNaMnNbO6,Ce,Na,Mn,Nb,4.0,1.0,2.0,5.0,0.0597353,0.077290612,0.0158143098420693,0.017555311999999997,0.882641,3.57937,A:Ce-Na|B:Mn-Nb,magnetic_B_proxy,Multinary_Oxides
True,development,near_stable_0.05_0.10,634da209d6d16c71eb0d898a,634da209d6d16c71eb0d8987,Ba2FeW_O6,Ba2FeWO6,Ba,Ba,Fe,W,2.0,2.0,2.0,6.0,0.0959905,0.032172813,0.037105694708340915,-0.06381768700000001,1.01837,3.53669,A:Ba-Ba|B:Fe-W,magnetic_B_proxy,Multinary_Oxides
True,development,stable_positive_control_le_0.03,634710ae103349a28b1bbc25,634710ae103349a28b1bbc22,LaY_MgTiO6,LaYMgTiO6,La,Y,Mg,Ti,3.0,3.0,2.0,4.0,0.027701,0.028654855200000003,0.0010771524999363825,0.0009538552000000027,0.897383,2.17302,A:La-Y|B:Mg-Ti,other_B,Multinary_Oxides
True,development,stable_positive_control_le_0.03,6347130f660f1387211bc0d3,6347130f660f1387211bc0d2,SrTbLiW_O6,SrTbLiWO6,Sr,Tb,Li,W,2.0,3.0,1.0,6.0,0.00940281,0.0124722482,0.0014716662215842964,0.0030694382,0.90683,3.29214,A:Sr-Tb|B:Li-W,other_B,Multinary_Oxides
True,development,stable_positive_control_le_0.03,634d8de349b0ce94eb0d4011,634d8de349b0ce94eb0d400d,SmSrInZrO6,SmSrInZrO6,Sm,Sr,In,Zr,3.0,2.0,3.0,4.0,0.0234591,0.021443039199999996,0.001691732298962872,-0.002016060800000004,0.896978,3.36471,A:Sm-Sr|B:In-Zr,other_B,Multinary_Oxides
True,development,stable_positive_control_le_0.03,634d981649b0ce94eb0d9f5f,634d981649b0ce94eb0d9f5c,PrSrHfTbO6,PrSrHfTbO6,Pr,Sr,Hf,Tb,3.0,2.0,4.0,3.0,0.0269888,0.022674322,0.0016917283739041856,-0.004314478,0.864383,3.9526,A:Pr-Sr|B:Hf-Tb,other_B,Multinary_Oxides
True,development,unstable_negative_control_gt_0.20,634702b1660f1387211b508d,634702b1660f1387211b508b,NdZnEuSiO6,NdZnEuSiO6,Nd,Zn,Eu,Si,3.0,2.0,3.0,4.0,0.321056,0.295491914,0.0015976707240480045,-0.025564085999999986,0.847437,4.27473,A:Nd-Zn|B:Eu-Si,other_B,Multinary_Oxides
True,development,unstable_negative_control_gt_0.20,63470b2f660f1387211b8cd7,63470b2f660f1387211b8cd6,BaBiCoFeO6,BaBiCoFeO6,Ba,Bi,Co,Fe,2.0,3.0,3.0,4.0,0.209532,0.23586254799999998,0.0013695833170603358,0.02633054799999998,0.987649,2.98149,A:Ba-Bi|B:Co-Fe,magnetic_B_proxy,Multinary_Oxides
True,development,unstable_negative_control_gt_0.20,63470faf103349a28b1bb3e6,63470faf103349a28b1bb3e3,BaEuCoGaO6,BaEuCoGaO6,Ba,Eu,Co,Ga,2.0,3.0,4.0,3.0,0.2301,0.24659231000000004,0.001478221072488823,0.016492310000000038,0.989949,3.04946,A:Ba-Eu|B:Co-Ga,magnetic_B_proxy,Multinary_Oxides
True,development,unstable_negative_control_gt_0.20,634710ef660f1387211bb457,634710ef660f1387211bb456,MgSmCuSiO6,MgSmCuSiO6,Mg,Sm,Cu,Si,2.0,3.0,3.0,4.0,0.211729,0.21172055800000003,0.0013871139133719297,-8.44199999996964e-06,0.932095,3.65404,A:Mg-Sm|B:Cu-Si,other_B,Multinary_Oxides
False,,,6347017c103349a28b1b46e8,6347017c103349a28b1b46e6,BaGeFeSbO6,BaGeFeSbO6,Ba,Ge,Fe,Sb,2.0,4.0,3.0,3.0,0.424273,0.306221694,0.026817936497306783,-0.11805130600000002,0.830703,3.85252,A:Ba-Ge|B:Fe-Sb,magnetic_B_proxy,Multinary_Oxides
False,,,63470180103349a28b1b470c,63470180103349a28b1b470a,TbY_CrSiO6,TbYCrSiO6,Tb,Y,Cr,Si,3.0,3.0,2.0,4.0,0.135159,0.13421555599999999,0.005903072518166281,-0.0009434440000000155,0.87858,2.49091,A:Tb-Y|B:Cr-Si,magnetic_B_proxy,Multinary_Oxides
False,,,63470181103349a28b1b4714,63470181103349a28b1b4712,GdInNiSiO6,GdInNiSiO6,Gd,In,Ni,Si,3.0,3.0,2.0,4.0,0.139582,0.146748282,0.0035482328317445583,0.007166281999999996,0.87743,2.56153,A:Gd-In|B:Ni-Si,magnetic_B_proxy,Multinary_Oxides
False,,,63470181103349a28b1b4715,63470181103349a28b1b4713,CeK_GdNbO6,CeKGdNbO6,Ce,K,Gd,Nb,3.0,1.0,3.0,5.0,0.0628445,0.063218781,0.004533850920465403,0.0003742810000000041,0.933549,3.71517,A:Ce-K|B:Gd-Nb,other_B,Multinary_Oxides
False,,,63470184660f1387211b474c,63470184660f1387211b4749,DySrFeNdO6,DySrFeNdO6,Dy,Sr,Fe,Nd,2.0,2.0,6.0,2.0,0.140333,0.136348322,0.00332145402559181,-0.003984678000000019,0.884698,4.20005,A:Dy-Sr|B:Fe-Nd,magnetic_B_proxy,Multinary_Oxides
False,,,63470185103349a28b1b4738,63470185103349a28b1b4736,BaW_FeSiO6,BaWFeSiO6,Ba,W,Fe,Si,2.0,4.0,2.0,4.0,0.544678,0.43128507000000005,0.024233081661903844,-0.11339292999999995,0.900762,2.19375,A:Ba-W|B:Fe-Si,magnetic_B_proxy,Multinary_Oxides
False,,,63470186103349a28b1b473c,63470185103349a28b1b473a,CaY_CeFeO6,CaYCeFeO6,Ca,Y,Ce,Fe,2.0,3.0,4.0,3.0,0.0989602,0.0928575772,0.004867079887975871,-0.006102622799999999,0.854591,4.1448,A:Ca-Y|B:Ce-Fe,magnetic_B_proxy,Multinary_Oxides
False,,,63470187103349a28b1b4744,63470187103349a28b1b4742,SbSrSiV_O6,SbSrSiVO6,Sb,Sr,Si,V,3.0,2.0,4.0,3.0,0.323632,0.302879626,0.011773331348886758,-0.020752373999999962,0.920712,3.50077,A:Sb-Sr|B:Si-V,magnetic_B_proxy,Multinary_Oxides
False,,,63470187660f1387211b4765,63470187660f1387211b4763,BiGdCuGaO6,BiGdCuGaO6,Bi,Gd,Cu,Ga,3.0,3.0,3.0,3.0,0.119778,0.12482701,0.006118216999588195,0.0050490100000000065,0.906561,2.14519,A:Bi-Gd|B:Cu-Ga,other_B,Multinary_Oxides
False,,,63470188103349a28b1b474c,63470188103349a28b1b474a,NdPrFeNbO6,NdPrFeNbO6,Nd,Pr,Fe,Nb,2.0,3.0,2.0,5.0,0.147573,0.155883976,0.0023365010732888654,0.008310975999999998,0.892932,3.43617,A:Nd-Pr|B:Fe-Nb,magnetic_B_proxy,Multinary_Oxides
False,,,63470189103349a28b1b4754,63470189103349a28b1b4752,DyNaBiNiO6,DyNaBiNiO6,Dy,Na,Bi,Ni,2.0,1.0,5.0,4.0,0.152864,0.149697324,0.010384974162157556,-0.003166676000000007,0.941642,4.26774,A:Dy-Na|B:Bi-Ni,magnetic_B_proxy,Multinary_Oxides
False,,,6347018a103349a28b1b4759,63470189103349a28b1b4757,Dy2CrSiO6,Dy2CrSiO6,Dy,Dy,Cr,Si,2.0,2.0,4.0,4.0,0.147207,0.1241673972,0.005294313842859072,-0.023039602800000003,0.97675,4.40312,A:Dy-Dy|B:Cr-Si,magnetic_B_proxy,Multinary_Oxides
False,,,6347018a103349a28b1b475d,6347018a103349a28b1b475b,CaFeCoMgO6,CaFeCoMgO6,Ca,Fe,Co,Mg,2.0,4.0,4.0,2.0,0.11646,0.12443123999999998,0.0075281802250643515,0.00797123999999999,0.824958,3.93983,A:Ca-Fe|B:Co-Mg,magnetic_B_proxy,Multinary_Oxides
False,,,6347018d660f1387211b478e,6347018d660f1387211b478b,K_Y_NbV_O6,KYNbVO6,K,Y,Nb,V,1.0,3.0,4.0,4.0,0.0739602,0.089603462,0.010805558912593672,0.01564326199999999,0.960516,3.83592,A:K-Y|B:Nb-V,magnetic_B_proxy,Multinary_Oxides
False,,,63470191103349a28b1b4791,63470190103349a28b1b478f,Ce2DySmO6,Ce2DySmO6,Ce,Ce,Dy,Sm,3.0,3.0,3.0,3.0,0.114512,0.1178350708,0.006086533342144211,0.0033230707999999942,0.829753,4.44432,A:Ce-Ce|B:Dy-Sm,other_B,Multinary_Oxides
False,,,63470191660f1387211b47ae,63470190660f1387211b47ac,NdSmSbW_O6,NdSmSbWO6,Nd,Sm,Sb,W,2.0,2.0,3.0,5.0,0.283471,0.287576516,0.005150824373678441,0.004105516000000031,0.925329,3.89201,A:Nd-Sm|B:Sb-W,other_B,Multinary_Oxides
False,,,63470191660f1387211b47b2,63470191660f1387211b47b0,CuLaGaSiO6,CuLaGaSiO6,Cu,La,Ga,Si,2.0,3.0,3.0,4.0,0.274498,0.274296224,0.006437422472793749,-0.00020177600000004237,0.905171,3.63592,A:Cu-La|B:Ga-Si,other_B,Multinary_Oxides
False,,,63470192660f1387211b47b8,63470191660f1387211b47b5,NdY_MnSbO6,NdYMnSbO6,Nd,Y,Mn,Sb,2.0,3.0,2.0,5.0,0.144155,0.128300992,0.007607708078545731,-0.015854008000000003,0.873436,3.73503,A:Nd-Y|B:Mn-Sb,magnetic_B_proxy,Multinary_Oxides
False,,,63470193660f1387211b47c4,63470193660f1387211b47c1,CaLaSiY_O6,CaLaSiYO6,Ca,La,Si,Y,2.0,3.0,4.0,3.0,0.185978,0.18346696599999998,0.0027532398945206275,-0.002511034000000023,0.948558,3.00796,A:Ca-La|B:Si-Y,other_B,Multinary_Oxides
False,,,63470196103349a28b1b47b6,63470195103349a28b1b47b3,NdSrLaSiO6,NdSrLaSiO6,Nd,Sr,La,Si,3.0,2.0,3.0,4.0,0.255887,0.26198337,0.0020997533862932506,0.006096370000000018,0.920642,3.12233,A:Nd-Sr|B:La-Si,other_B,Multinary_Oxides
False,,,63470196660f1387211b47d6,63470196660f1387211b47d4,NaK_NbV_O6,NaKNbVO6,K,Na,Nb,V,1.0,1.0,5.0,5.0,0.116831,0.120781359,0.006134789980769918,0.0039503590000000005,1.03579,4.09575,A:K-Na|B:Nb-V,magnetic_B_proxy,Multinary_Oxides
False,,,63470199103349a28b1b47d0,63470199103349a28b1b47ce,BaNdEuTbO6,BaNdEuTbO6,Ba,Nd,Eu,Tb,2.0,3.0,3.0,4.0,0.0491661,0.060316469,0.003933195357207038,0.011150369,0.89114,3.45436,A:Ba-Nd|B:Eu-Tb,other_B,Multinary_Oxides
False,,,6347019b103349a28b1b47e6,6347019b103349a28b1b47e3,Nd2NiV_O6,Nd2NiVO6,Nd,Nd,Ni,V,2.0,2.0,3.0,5.0,0.0441592,0.0378015428,0.004423751812449326,-0.006357657200000005,0.987078,3.94989,A:Nd-Nd|B:Ni-V,magnetic_B_proxy,Multinary_Oxides
False,,,6347019d103349a28b1b47f6,6347019d103349a28b1b47f3,Gd2DySiO6,Gd2DySiO6,Gd,Gd,Dy,Si,3.0,3.0,2.0,4.0,0.29655,0.30217604200000003,0.015522416519558728,0.005626042000000053,0.830312,3.93759,A:Gd-Gd|B:Dy-Si,other_B,Multinary_Oxides
False,,,6347019d660f1387211b480f,6347019d660f1387211b480d,CeZnCrNiO6,CeZnCrNiO6,Ce,Zn,Cr,Ni,3.0,2.0,5.0,2.0,0.173276,0.185544762,0.014381504318609028,0.012268761999999989,0.895432,3.52701,A:Ce-Zn|B:Cr-Ni,magnetic_B_proxy,Multinary_Oxides
False,,,6347019e103349a28b1b4804,6347019e103349a28b1b4801,DyHfFeNiO6,DyHfFeNiO6,Dy,Hf,Fe,Ni,2.0,4.0,4.0,2.0,0.0813233,0.081688058,0.0053189089174820415,0.0003647579999999928,0.836382,3.52516,A:Dy-Hf|B:Fe-Ni,magnetic_B_proxy,Multinary_Oxides
False,,,634701a3103349a28b1b4826,634701a3103349a28b1b4823,CaLaGeSbO6,CaLaGeSbO6,Ca,La,Ge,Sb,2.0,3.0,4.0,3.0,0.197347,0.192305832,0.006608346560870579,-0.005041167999999985,0.950877,3.00488,A:Ca-La|B:Ge-Sb,other_B,Multinary_Oxides
False,,,634701a3660f1387211b483a,634701a2660f1387211b4838,SmSrGaHfO6,SmSrGaHfO6,Sm,Sr,Ga,Hf,3.0,2.0,3.0,4.0,0.0531794,0.057765948600000006,0.002456279720020463,0.004586548600000004,0.938243,3.04527,A:Sm-Sr|B:Ga-Hf,other_B,Multinary_Oxides
False,,,634701a3660f1387211b483f,634701a3660f1387211b483d,NaSmCaCrO6,NaSmCaCrO6,Na,Sm,Ca,Cr,1.0,3.0,2.0,6.0,0.223817,0.22592431400000001,0.005026858133400022,0.0021073140000000268,0.905564,4.00875,A:Na-Sm|B:Ca-Cr,magnetic_B_proxy,Multinary_Oxides
False,,,634701a6103349a28b1b483c,634701a6103349a28b1b483a,DyNaCrHfO6,DyNaCrHfO6,Dy,Na,Cr,Hf,2.0,1.0,5.0,4.0,0.0880395,0.087844485,0.007355707602844884,-0.0001950150000000067,0.951059,4.29644,A:Dy-Na|B:Cr-Hf,magnetic_B_proxy,Multinary_Oxides
False,,,634701a8103349a28b1b484d,634701a8103349a28b1b484b,BaCoAlSiO6,BaCoAlSiO6,Ba,Co,Al,Si,2.0,3.0,3.0,4.0,0.551921,0.554765394,0.010885783163416884,0.002844394000000028,0.950382,3.60914,A:Ba-Co|B:Al-Si,other_B,Multinary_Oxides
False,,,634701a8660f1387211b4863,634701a8660f1387211b4861,EuK_CeV_O6,EuKCeVO6,Eu,K,Ce,V,2.0,1.0,4.0,5.0,0.182764,0.211588634,0.008167894128686409,0.028824633999999988,0.972482,3.96745,A:Eu-K|B:Ce-V,magnetic_B_proxy,Multinary_Oxides
False,,,634701a9660f1387211b486e,634701a9660f1387211b486c,DyK_PrSbO6,DyKPrSbO6,Dy,K,Pr,Sb,3.0,1.0,3.0,5.0,0.0683499,0.071222136,0.0029564438554820346,0.0028722360000000002,0.889602,4.12747,A:Dy-K|B:Pr-Sb,other_B,Multinary_Oxides
False,,,634701ac103349a28b1b4865,634701ab103349a28b1b4863,BaEuNbY_O6,BaEuNbYO6,Ba,Eu,Nb,Y,2.0,2.0,5.0,3.0,0.00809973,0.0013906837,0.0018656812546101534,-0.006709046299999999,0.938464,3.70143,A:Ba-Eu|B:Nb-Y,other_B,Multinary_Oxides
False,,,634701ac660f1387211b4882,634701ab660f1387211b4880,GdNdAlZrO6,GdNdAlZrO6,Gd,Nd,Al,Zr,3.0,2.0,3.0,4.0,0.12974,0.135073062,0.0036228906186869677,0.0053330619999999995,0.91671,3.26655,A:Gd-Nd|B:Al-Zr,other_B,Multinary_Oxides
False,,,634701ae103349a28b1b4870,634701ae103349a28b1b486e,BaPrMnK_O6,BaPrMnKO6,Ba,Pr,K,Mn,2.0,3.0,1.0,6.0,0.191917,0.182204072,0.00836566674605916,-0.00971292800000001,0.891098,3.44794,A:Ba-Pr|B:K-Mn,magnetic_B_proxy,Multinary_Oxides
False,,,634701ae660f1387211b4896,634701ae660f1387211b4894,CaZnHfSiO6,CaZnHfSiO6,Ca,Zn,Hf,Si,2.0,2.0,4.0,4.0,0.167507,0.165051282,0.003243914695174653,-0.0024557179999999956,0.911462,4.27091,A:Ca-Zn|B:Hf-Si,other_B,Multinary_Oxides
False,,,634701b0103349a28b1b4880,634701b0103349a28b1b487e,CaEuAlSbO6,CaEuAlSbO6,Ca,Eu,Al,Sb,2.0,2.0,3.0,5.0,0.091007,0.10323554859999999,0.015075612687856232,0.012228548599999986,0.986535,3.96011,A:Ca-Eu|B:Al-Sb,other_B,Multinary_Oxides
False,,,634701b1660f1387211b48ad,634701b1660f1387211b48ab,NaNdInV_O6,NaNdInVO6,Na,Nd,In,V,1.0,3.0,3.0,5.0,0.1387,0.136040498,0.001627651722212097,-0.0026595019999999803,0.932561,3.87984,A:Na-Nd|B:In-V,magnetic_B_proxy,Multinary_Oxides
False,,,634701b2103349a28b1b4890,634701b2103349a28b1b488e,GaLaMnV_O6,GaLaMnVO6,Ga,La,Mn,V,3.0,3.0,3.0,3.0,0.073337,0.0881083328,0.011268967378893114,0.014771332799999995,0.82741,3.87101,A:Ga-La|B:Mn-V,magnetic_B_proxy,Multinary_Oxides
False,,,634701b2660f1387211b48b9,634701b2660f1387211b48b7,CaFeNi2O6,CaFeNi2O6,Ca,Fe,Ni,Ni,2.0,4.0,3.0,3.0,0.133708,0.16249388799999998,0.00956989350994409,0.02878588799999998,0.83527,3.51627,A:Ca-Fe|B:Ni-Ni,magnetic_B_proxy,Multinary_Oxides
False,,,634701b4660f1387211b48c4,634701b3660f1387211b48c2,CePrMnSiO6,CePrMnSiO6,Ce,Pr,Mn,Si,3.0,3.0,2.0,4.0,0.147874,0.14158128999999997,0.002042564933570047,-0.006292710000000035,0.933276,1.84714,A:Ce-Pr|B:Mn-Si,magnetic_B_proxy,Multinary_Oxides
False,,,634701b6103349a28b1b48b0,634701b6103349a28b1b48ae,CeMnFeNbO6,CeMnFeNbO6,Ce,Mn,Fe,Nb,3.0,2.0,2.0,5.0,0.118804,0.117966996,0.010337975235638747,-0.0008370040000000023,0.85456,4.11847,A:Ce-Mn|B:Fe-Nb,magnetic_B_proxy,Multinary_Oxides
False,,,634701b8103349a28b1b48bc,634701b7103349a28b1b48ba,CeNaNiTbO6,CeNaNiTbO6,Ce,Na,Ni,Tb,4.0,1.0,3.0,4.0,0.19672,0.207235162,0.006000138058375823,0.010515161999999995,0.905981,3.30113,A:Ce-Na|B:Ni-Tb,magnetic_B_proxy,Multinary_Oxides
False,,,634701b9660f1387211b48e4,634701b9660f1387211b48e1,NdSnCrSeO6,NdSnCrSeO6,Nd,Sn,Cr,Se,2.0,2.0,2.0,6.0,0.386364,0.382033674,0.006042292251627701,-0.0043303259999999955,0.932255,4.00756,A:Nd-Sn|B:Cr-Se,magnetic_B_proxy,Multinary_Oxides
False,,,634701bc103349a28b1b48d9,634701bc103349a28b1b48d7,BaTbNiSbO6,BaTbNiSbO6,Ba,Tb,Ni,Sb,2.0,3.0,2.0,5.0,0.116841,0.11225031599999999,0.008628974408131016,-0.0045906840000000115,0.951742,3.00026,A:Ba-Tb|B:Ni-Sb,magnetic_B_proxy,Multinary_Oxides
False,,,634701bd660f1387211b4904,634701bd660f1387211b4901,K_V_CoW_O6,KVCoWO6,K,V,Co,W,1.0,2.0,3.0,6.0,0.615647,0.56602283,0.016594176711711255,-0.04962417000000008,0.922237,4.38432,A:K-V|B:Co-W,magnetic_B_proxy,Multinary_Oxides
False,,,634701bf103349a28b1b48f0,634701be103349a28b1b48ee,GdPrTiZnO6,GdPrTiZnO6,Gd,Pr,Ti,Zn,3.0,4.0,3.0,2.0,0.0466702,0.047651822999999996,0.0038133731564481727,0.000981622999999994,0.817456,3.1495,A:Gd-Pr|B:Ti-Zn,other_B,Multinary_Oxides
False,,,634701bf103349a28b1b48f1,634701be103349a28b1b48ef,Bi2NiW_O6,Bi2NiWO6,Bi,Bi,Ni,W,3.0,3.0,2.0,4.0,0.59128,0.178571712,0.014260110593635668,-0.41270828800000003,0.87579,2.52782,A:Bi-Bi|B:Ni-W,magnetic_B_proxy,Multinary_Oxides
False,,,634701c1660f1387211b4924,634701c1660f1387211b4921,Ca2LiMnO6,Ca2LiMnO6,Ca,Ca,Li,Mn,2.0,2.0,1.0,7.0,0.258398,0.169201374,0.028240229233546077,-0.08919662600000003,0.963917,3.87784,A:Ca-Ca|B:Li-Mn,magnetic_B_proxy,Multinary_Oxides
False,,,634701c2660f1387211b492c,634701c2660f1387211b4929,LaNdGeZnO6,LaNdGeZnO6,La,Nd,Ge,Zn,3.0,3.0,4.0,2.0,0.0549038,0.049059005,0.002099754433388581,-0.005844795,0.943388,1.7389,A:La-Nd|B:Ge-Zn,other_B,Multinary_Oxides
